"","gene","X","baseMean","log2FoldChange_raw","lfcSE","stat","pvalue","padj_raw","log2FoldChange_shrunk","padj_shrunk","diffexpressed","Label"
"39283","evm.TU.utg9902.2","evm.TU.utg9902.2",14.7327031908092,-0.419401661059452,0.579936609352979,-0.723185352149726,0.46956601679659,NA,-0.0055121168445632,NA,"Non-Sig","NO"
"39284","evm.TU.utg9902.3","evm.TU.utg9902.3",4.44073722945685,-0.285581906324869,1.01974991021632,-0.280050925686563,0.779438434339385,NA,-0.00218465982386487,NA,"Non-Sig","NO"
"39285","evm.TU.utg9902.5","evm.TU.utg9902.5",32.9070477222021,0.0342488622302464,0.42327484799018,0.0809140027877136,0.935510343866707,0.998244541611383,0.000419372401644524,0.998244541611383,"Non-Sig","NO"
"39286","evm.TU.utg9902.6","evm.TU.utg9902.6",1178.92930980473,0.412165427065675,0.232161660573619,1.77533803836218,0.0758420882112159,0.745407689278796,0.0155125932542716,0.745407689278796,"Non-Sig","NO"
"39287","evm.TU.utg9902.7","evm.TU.utg9902.7",4665.19292099261,0.320223633455636,0.320521129208134,0.999071837313088,0.317759892712917,0.960000415166384,0.00550937016050986,0.960000415166384,"Non-Sig","NO"
"39288","evm.TU.utg9902.8","evm.TU.utg9902.8",185.924712633364,0.23094088491932,0.272307615597868,0.848088234375213,0.396388833557733,0.976803385924106,0.00355151784666496,0.976803385924106,"Non-Sig","NO"
"39289","evm.TU.utg9902.9","evm.TU.utg9902.9",0.766575797419644,0.981674412266788,2.666247551314,0.368185771716131,0.712734718854056,NA,0.00181046326127795,NA,"Non-Sig","NO"
"39290","evm.TU.utg992.1","evm.TU.utg992.1",1.73441291277069,0.502161728624359,1.44290543730087,0.348021232468092,0.727824237869672,NA,0.0024853477199157,NA,"Non-Sig","NO"
"39291","evm.TU.utg992.10","evm.TU.utg992.10",3.23565677209645,0.249888197251215,1.41167972453612,0.177014795146491,0.859496768250256,NA,0.00126448114257781,NA,"Non-Sig","NO"
"39292","evm.TU.utg992.11","evm.TU.utg992.11",1.65364534295612,0.448802685496337,1.59966477590031,0.280560460077484,0.779047546623773,NA,0.00190254920590097,NA,"Non-Sig","NO"
"39293","evm.TU.utg992.12","evm.TU.utg992.12",5.481524581607,-0.492681242926633,0.826339622373866,-0.596221250423988,0.551027431167449,NA,-0.00487378369040619,NA,"Non-Sig","NO"
"39294","evm.TU.utg992.13","evm.TU.utg992.13",18.6227788917307,0.666606681810747,0.435006549681448,1.53240608054959,0.125422257906216,0.846403269383247,0.0172796472413952,0.846403269383247,"Non-Sig","NO"
"39295","evm.TU.utg992.14","evm.TU.utg992.14",35.6548595506172,-0.120824988850238,0.422030691541422,-0.286294317621635,0.77465270995169,0.997907053518423,-0.00151589928606051,0.997907053518423,"Non-Sig","NO"
"39296","evm.TU.utg992.15","evm.TU.utg992.15",9.58909746247224,0.116039096430647,0.608887552511928,0.190575576642903,0.848858126485439,NA,0.00131243059196391,NA,"Non-Sig","NO"
"39297","evm.TU.utg992.16","evm.TU.utg992.16",138.912107370005,-0.0632948696764109,0.304424942518586,-0.207916175175253,0.835294419190919,0.997907053518423,-0.000775523724598748,0.997907053518423,"Non-Sig","NO"
"39298","evm.TU.utg992.17","evm.TU.utg992.17",131.792485401508,-0.369508853825239,0.288018138115814,-1.28293605480033,0.199514479900423,0.911032713813644,-0.00800329845716591,0.911032713813644,"Non-Sig","NO"
"39299","evm.TU.utg992.18","evm.TU.utg992.18",59.3244776386811,-0.394755712976988,0.328851995098351,-1.20040540687286,0.229981930017386,0.932047902086662,-0.00795892877057284,0.932047902086662,"Non-Sig","NO"
"39300","evm.TU.utg992.19","evm.TU.utg992.19",189.728510703,-0.197393650381405,0.251761378125494,-0.784050563478449,0.433010441673521,0.983591425134655,-0.00290308223763898,0.983591425134655,"Non-Sig","NO"
"39301","evm.TU.utg992.2","evm.TU.utg992.2",32.6279303809106,-1.70958188005256,0.602053288390926,-2.83958565299372,0.00451721661428706,0.251885529698297,-0.155362090943496,0.251885529698297,"Non-Sig","NO"
"39302","evm.TU.utg992.20","evm.TU.utg992.20",1422.72124817046,0.44905667363809,0.177017048636934,2.53679900945087,0.0111871161777059,0.360454687881435,0.0583934567711632,0.360454687881435,"Non-Sig","NO"
"39303","evm.TU.utg992.21","evm.TU.utg992.21",3629.74909513411,0.370975147225736,0.17778049207878,2.08670334347677,0.0369149588599115,0.588865841549607,0.0212643880094896,0.588865841549607,"Non-Sig","NO"
"39304","evm.TU.utg992.22","evm.TU.utg992.22",3321.43249852886,0.375575918022972,0.172095400819663,2.18237045402819,0.0290822030884653,0.536538173522038,0.0250992814609789,0.536538173522038,"Non-Sig","NO"
"39305","evm.TU.utg992.23","evm.TU.utg992.23",3188.10558815833,0.371143621573627,0.168464538734812,2.20309641637913,0.0275879537302103,0.523001243378802,0.0255595029196651,0.523001243378802,"Non-Sig","NO"
"39306","evm.TU.utg992.24","evm.TU.utg992.24",3477.32695383245,0.356546112609859,0.160847594693054,2.21667046554384,0.026645618435747,0.514514651957537,0.0247999861955853,0.514514651957537,"Non-Sig","NO"
"39307","evm.TU.utg992.25","evm.TU.utg992.25",1525.51617695064,-0.189650539081793,0.151013143420475,-1.25585452223676,0.209168719635702,0.919061776719606,-0.00386834965034614,0.919061776719606,"Non-Sig","NO"
